stateabb,year,milex,milper
USA,1816,3823,17
USA,1817,2466,15
USA,1818,1910,14
USA,1819,2301,13
USA,1820,1556,15
USA,1821,1612,11
USA,1822,1079,10
USA,1823,1170,11
USA,1824,1261,11
USA,1825,1336,11
USA,1826,1658,12
USA,1827,1663,12
USA,1828,1622,11
USA,1829,1678,12
USA,1830,1687,12
USA,1831,1835,11
USA,1832,1896,12
USA,1833,2445,13
USA,1834,2073,13
USA,1835,2001,14
USA,1836,2571,17
USA,1837,3121,22
USA,1838,3083,18
USA,1839,2012,19
USA,1840,2755,22
USA,1841,3042,21
USA,1842,3011,23
USA,1843,1364,21
USA,1844,2432,21
USA,1845,3534,21
USA,1846,9506,39
USA,1847,7431,58
USA,1848,8106,60
USA,1849,3558,23
USA,1850,4302,21
USA,1851,3525,21
USA,1852,4226,21
USA,1853,4605,21
USA,1854,5765,21
USA,1855,5892,26
USA,1856,6117,26
USA,1857,7499,27
USA,1858,7297,29
USA,1859,5638,29
USA,1860,7060,28
USA,1861,95362,217
USA,1862,136769,673
USA,1863,119662,960
USA,1864,157390,1032
USA,1865,30471,1063
USA,1866,17821,77
USA,1867,30698,75
USA,1868,20154,66
USA,1869,16559,52
USA,1870,13128,50
USA,1871,11811,42
USA,1872,14246,42
USA,1873,15014,43
USA,1874,12899,44
USA,1875,11720,38
USA,1876,10749,41
USA,1877,9074,34
USA,1878,11367,36
USA,1879,10527,38
USA,1880,11414,38
USA,1881,11973,38
USA,1882,13040,38
USA,1883,11425,37
USA,1884,11438,39
USA,1885,9748,39
USA,1886,10382,39
USA,1887,10765,39
USA,1888,12647,39
USA,1889,13195,39
USA,1890,14788,39
USA,1891,15315,38
USA,1892,15654,39
USA,1893,16964,39
USA,1894,16001,42
USA,1895,15187,42
USA,1896,16382,42
USA,1897,30249,44
USA,1898,60011,236
USA,1899,38588,100
USA,1900,41481,126
USA,1901,36087,112
USA,1902,39722,111
USA,1903,43814,106
USA,1904,47918,110
USA,1905,45098,108
USA,1906,43602,112
USA,1907,58725,108
USA,1908,54189,129
USA,1909,56177,142
USA,1910,55880,139
USA,1911,57157,145
USA,1912,58992,153
USA,1913,62825,155
USA,1914,253205,166
USA,1915,257648,174
USA,1916,277421,179
USA,1917,658584,644
USA,1918,7014226,2897
USA,1919,11217796,1173
USA,1920,1657118,343
USA,1921,1116342,387
USA,1922,860853,270
USA,1923,678256,247
USA,1924,570142,261
USA,1925,589706,252
USA,1926,558004,247
USA,1927,596501,249
USA,1928,678100,251
USA,1929,701300,255
USA,1930,699200,256
USA,1931,698900,253
USA,1932,641600,245
USA,1933,570400,244
USA,1934,803100,247
USA,1935,806400,252
USA,1936,932600,291
USA,1937,1032900,312
USA,1938,1131499,323
USA,1939,980000,334
USA,1940,1657000,458
USA,1941,6301000,1801
USA,1942,26001000,3859
USA,1943,72109000,9045
USA,1944,87000000,11452
USA,1945,90000000,12123
USA,1946,45133984,3030
USA,1947,14315999,1583
USA,1948,10960998,1446
USA,1949,13503000,1615
USA,1950,14559000,1460
USA,1951,33398000,3249
USA,1952,47852000,3636
USA,1953,49621008,3555
USA,1954,42786000,3302
USA,1955,40518000,2935
USA,1956,41773008,2806
USA,1957,44548000,2796
USA,1958,45503008,2411
USA,1959,46614000,2328
USA,1960,45380000,2306
USA,1961,47808000,2307
USA,1962,52381008,2807
USA,1963,52295008,2700
USA,1964,51213008,2687
USA,1965,51827008,2660
USA,1966,67572000,3090
USA,1967,75448000,3380
USA,1968,80732000,3550
USA,1969,81446000,3460
USA,1970,77827008,3070
USA,1971,74862000,2720
USA,1972,77639000,2323
USA,1973,78385000,2206
USA,1974,85906000,2146
USA,1975,90948000,2098
USA,1976,91013000,2075
USA,1977,100925000,2060
USA,1978,109247000,2060
USA,1979,122279000,2033
USA,1980,143981000,2050
USA,1981,169888000,2101
USA,1982,196345000,2168
USA,1983,217198000,2201
USA,1984,237052000,2222
USA,1985,245154000,2244
USA,1986,265480000,2269
USA,1987,273966000,2280
USA,1988,281935000,2250
USA,1989,294880000,2240
USA,1990,289755000,2180
USA,1991,262389000,2110
USA,1992,286892000,1920
USA,1993,297600000,1810
USA,1994,293214000,1710
USA,1995,277834000,1620
USA,1996,277254000,1570
USA,1997,276324000,1530
USA,1998,279702000,1510
USA,1999,292147000,1490
USA,2000,303136000,1366
USA,2001,322365000,1368
USA,2002,348555000,1414
USA,2003,404920000,1427
USA,2004,455908000,1450
USA,2005,495326000,1474
USA,2006,521840000,1546
USA,2007,552568000,1506
USA,2008,616073000,1498
USA,2009,662049000,1540
USA,2010,693600000,1580
USA,2011,687000000,1564
USA,2012,655388000,1569
USA,2013,600400000,1520
USA,2014,581000000,1492
USA,2015,597503000,1433
USA,2016,604452000,1381
CAN,1920,10755,4
CAN,1921,10209,4
CAN,1922,10028,4
CAN,1923,13316,4
CAN,1924,12824,4
CAN,1925,12984,4
CAN,1926,13936,4
CAN,1927,16745,4
CAN,1928,18862,5
CAN,1929,21058,4
CAN,1930,22649,5
CAN,1931,18263,6
CAN,1932,11999,5
CAN,1933,17149,5
CAN,1934,12943,5
CAN,1935,24921,4
CAN,1936,24762,6
CAN,1937,32419,6
CAN,1938,35282,6
CAN,1939,125700,6
CAN,1940,730100,21
CAN,1941,1038380,280
CAN,1942,2321324,400
CAN,1943,3841192,740
CAN,1944,3622309,728
CAN,1945,2664365,801
CAN,1946,1552759,46
CAN,1947,385771,43
CAN,1948,195025,40
CAN,1949,370149,47
CAN,1950,447964,45
CAN,1951,1150942,62
CAN,1952,1843656,102
CAN,1953,2028835,104
CAN,1954,1818274,108
CAN,1955,1883021,112
CAN,1956,1889889,116
CAN,1957,1905207,121
CAN,1958,1766497,119
CAN,1959,1703318,120
CAN,1960,1735570,121
CAN,1961,1722891,124
CAN,1962,1735210,124
CAN,1963,1588421,120
CAN,1964,1677304,120
CAN,1965,1544548,120
CAN,1966,1642790,110
CAN,1967,1813063,105
CAN,1968,1782772,105
CAN,1969,1770133,100
CAN,1970,1920602,95
CAN,1971,2110319,85
CAN,1972,2260834,90
CAN,1973,2404759,82
CAN,1974,2926380,82
CAN,1975,3074729,78
CAN,1976,3639959,78
CAN,1977,3877762,78
CAN,1978,4016964,79
CAN,1979,4119005,79
CAN,1980,4387240,82
CAN,1981,5246444,81
CAN,1982,6182339,81
CAN,1983,6562003,81
CAN,1984,7195604,82
CAN,1985,6809000,83
CAN,1986,7180000,85
CAN,1987,7960000,86
CAN,1988,8830000,88
CAN,1989,9480000,88
CAN,1990,10280000,87
CAN,1991,11420000,86
CAN,1992,10310000,82
CAN,1993,9600000,76
CAN,1994,9695000,75
CAN,1995,9126000,70
CAN,1996,8624000,66
CAN,1997,7801000,61
CAN,1998,7677000,60
CAN,1999,8395000,60
CAN,2000,8320000,59
CAN,2001,7745000,57
CAN,2002,8522000,52
CAN,2003,10102000,52
CAN,2004,11501000,57
CAN,2005,13224000,62
CAN,2006,15103000,62
CAN,2007,18491000,63
CAN,2008,19836000,64
CAN,2009,19575000,64
CAN,2010,20240000,66
CAN,2011,20081000,66
CAN,2012,18445000,66
CAN,2013,16389000,66
CAN,2014,15925000,66
CAN,2015,14007000,66
CAN,2016,13162000,66
BHM,1973,0,0
BHM,1974,0,0
BHM,1975,0,0
BHM,1976,5500,0
BHM,1977,4800,0
BHM,1978,4900,0
BHM,1979,2700,0
BHM,1980,5000,0
BHM,1981,6600,0
BHM,1982,9000,0
BHM,1983,8000,0
BHM,1984,8600,0
BHM,1985,9600,1
BHM,1986,11100,0
BHM,1987,14337,0
BHM,1988,77700,0
BHM,1989,66500,2
BHM,1990,65700,1
BHM,1991,48000,0
BHM,1992,17800,1
BHM,1993,-9,1
BHM,1994,20000,0
BHM,1995,19000,0
BHM,1996,22000,0
BHM,1997,22000,0
BHM,1998,26000,0
BHM,1999,26000,1
BHM,2000,30000,1
BHM,2001,29000,1
BHM,2002,28000,1
BHM,2003,33000,1
BHM,2004,34000,1
BHM,2005,36000,1
BHM,2006,48000,1
BHM,2007,58000,1
BHM,2008,49000,1
BHM,2009,49000,1
BHM,2010,47000,1
BHM,2011,50000,1
BHM,2012,55000,1
BHM,2013,64000,1
BHM,2014,87000,1
BHM,2015,102000,1
BHM,2016,121000,1
CUB,1902,-9,3
CUB,1903,-9,3
CUB,1904,-9,4
CUB,1905,-9,4
CUB,1906,6161,4
CUB,1909,-9,5
CUB,1910,-9,5
CUB,1911,-9,5
CUB,1912,-9,5
CUB,1913,7293,11
CUB,1914,-9,13
CUB,1915,-9,15
CUB,1916,-9,18
CUB,1917,-9,19
CUB,1918,-9,19
CUB,1919,14374,18
CUB,1920,16979,18
CUB,1921,17444,18
CUB,1922,14133,12
CUB,1923,9506,12
CUB,1924,9516,12
CUB,1925,12043,13
CUB,1926,12471,13
CUB,1927,12313,13
CUB,1928,12846,13
CUB,1929,12734,13
CUB,1930,11988,13
CUB,1931,10100,13
CUB,1932,9795,13
CUB,1933,7894,13
CUB,1934,12195,13
CUB,1935,14488,16
CUB,1936,18385,16
CUB,1937,18485,19
CUB,1938,18385,19
CUB,1939,18477,19
CUB,1940,17416,19
CUB,1941,-9,19
CUB,1942,15794,20
CUB,1943,-9,20
CUB,1944,-9,20
CUB,1945,-9,21
CUB,1946,-9,18
CUB,1947,-9,18
CUB,1948,39943,18
CUB,1949,-9,19
CUB,1950,39175,20
CUB,1951,-9,20
CUB,1952,56000,20
CUB,1953,53000,21
CUB,1954,-9,21
CUB,1955,54000,13
CUB,1956,51000,13
CUB,1957,56100,19
CUB,1958,-9,19
CUB,1959,-9,19
CUB,1960,175000,46
CUB,1961,175000,270
CUB,1962,200000,270
CUB,1963,200000,80
CUB,1964,200000,110
CUB,1965,140000,110
CUB,1966,230000,110
CUB,1967,170000,110
CUB,1968,213000,110
CUB,1969,186000,140
CUB,1970,228000,140
CUB,1971,290000,140
CUB,1972,267000,140
CUB,1973,270000,140
CUB,1974,282000,140
CUB,1975,326000,120
CUB,1976,-9,125
CUB,1977,770000,200
CUB,1978,1031579,210
CUB,1979,1136486,210
CUB,1980,1126388,220
CUB,1981,1272515,225
CUB,1982,1330000,230
CUB,1983,1338001,250
CUB,1984,1357214,297
CUB,1985,1350000,297
CUB,1986,1480000,297
CUB,1987,1660000,297
CUB,1988,2240000,297
CUB,1989,1830000,297
CUB,1990,1691000,297
CUB,1991,1160000,297
CUB,1992,-9,175
CUB,1993,-9,175
CUB,1994,356,140
CUB,1995,700000,70
CUB,1996,715000,70
CUB,1997,720000,55
CUB,1998,765000,55
CUB,1999,750000,50
CUB,2000,735000,58
CUB,2001,735000,46
CUB,2002,1152000,46
CUB,2003,1208000,46
CUB,2004,1320000,48
CUB,2005,1444000,49
CUB,2006,1668000,49
CUB,2007,2148000,49
CUB,2008,2296000,49
CUB,2009,19060000,49
CUB,2010,-9,49
CUB,2011,96000,49
CUB,2012,-9,49
CUB,2013,-9,49
CUB,2014,-9,49
CUB,2015,-9,49
CUB,2016,-9,49
HAI,1859,-9,30
HAI,1860,-9,16
HAI,1861,-9,4
HAI,1862,-9,4
HAI,1863,163,4
HAI,1864,-9,4
HAI,1865,-9,4
HAI,1866,-9,4
HAI,1867,-9,4
HAI,1868,-9,4
HAI,1869,-9,4
HAI,1870,-9,4
HAI,1871,-9,4
HAI,1872,-9,4
HAI,1873,-9,4
HAI,1874,-9,4
HAI,1875,-9,4
HAI,1876,166,4
HAI,1877,166,4
HAI,1878,-9,7
HAI,1879,-9,7
HAI,1880,-9,7
HAI,1881,208,7
HAI,1882,242,7
HAI,1883,244,7
HAI,1884,-9,5
HAI,1885,219,7
HAI,1886,219,7
HAI,1887,-9,7
HAI,1888,-9,7
HAI,1889,-9,5
HAI,1890,-9,5
HAI,1891,267,5
HAI,1892,331,5
HAI,1893,331,5
HAI,1894,-9,5
HAI,1895,-9,7
HAI,1896,374,5
HAI,1897,265,7
HAI,1898,349,7
HAI,1899,279,7
HAI,1900,275,7
HAI,1901,281,7
HAI,1902,281,7
HAI,1903,277,7
HAI,1904,282,7
HAI,1905,305,7
HAI,1906,383,7
HAI,1907,325,7
HAI,1908,-9,7
HAI,1909,-9,12
HAI,1910,-9,12
HAI,1911,-9,12
HAI,1912,630,12
HAI,1913,695,12
HAI,1914,533,6
HAI,1915,789,6
HAI,1934,1340,3
HAI,1935,1360,3
HAI,1936,1360,3
HAI,1937,1500,3
HAI,1938,1760,3
HAI,1939,1760,3
HAI,1940,-9,-9
HAI,1941,1509,-9
HAI,1942,1509,5
HAI,1943,-9,5
HAI,1944,-9,5
HAI,1945,-9,5
HAI,1946,1940,5
HAI,1947,2300,4
HAI,1948,2740,3
HAI,1949,3120,3
HAI,1950,3540,3
HAI,1951,3960,3
HAI,1952,4580,3
HAI,1953,5260,4
HAI,1954,5140,4
HAI,1955,5180,5
HAI,1956,5440,5
HAI,1957,5940,4
HAI,1958,7000,4
HAI,1959,6880,6
HAI,1960,6560,6
HAI,1961,6340,5
HAI,1962,6320,5
HAI,1963,6700,16
HAI,1964,7760,15
HAI,1965,7360,15
HAI,1966,7080,10
HAI,1967,7160,13
HAI,1968,7160,12
HAI,1969,7160,12
HAI,1970,7160,12
HAI,1971,7320,12
HAI,1972,7280,12
HAI,1973,7980,12
HAI,1974,8460,6
HAI,1975,10180,6
HAI,1976,11160,6
HAI,1977,12280,7
HAI,1978,13000,7
HAI,1979,13600,7
HAI,1980,15000,7
HAI,1981,24000,8
HAI,1982,26000,8
HAI,1983,28000,8
HAI,1984,30000,6
HAI,1985,30540,6
HAI,1986,-9,8
HAI,1987,42000,8
HAI,1988,35000,8
HAI,1989,45000,9
HAI,1990,16900,8
HAI,1991,29400,8
HAI,1992,55000,8
HAI,1993,-9,8
HAI,1994,-9,0
HAI,1995,59000,0
HAI,1996,102000,0
HAI,1997,46000,0
HAI,1998,49000,0
HAI,1999,50000,0
HAI,2000,43000,-9
HAI,2001,40000,3
HAI,2002,32000,-9
HAI,2003,22000,-9
HAI,2004,-9,-9
HAI,2005,-9,0
HAI,2006,-9,0
HAI,2007,-9,-9
HAI,2008,-9,3
HAI,2009,-9,0
HAI,2010,-9,0
HAI,2011,-9,0
HAI,2012,-9,0
HAI,2013,-9,0
HAI,2014,-9,0
HAI,2015,-9,0
HAI,2016,7000,0
DOM,1894,-9,1
DOM,1895,-9,1
DOM,1896,-9,1
DOM,1897,-9,1
DOM,1898,-9,1
DOM,1899,-9,1
DOM,1900,-9,1
DOM,1901,-9,1
DOM,1902,-9,1
DOM,1903,87,1
DOM,1904,48,1
DOM,1905,74,1
DOM,1906,-9,1
DOM,1907,-9,1
DOM,1908,121,1
DOM,1909,146,1
DOM,1910,106,1
DOM,1911,-9,1
DOM,1912,-9,1
DOM,1913,237,1
DOM,1914,-9,1
DOM,1915,-9,1
DOM,1916,-9,1
DOM,1924,1081,2
DOM,1925,964,2
DOM,1926,860,2
DOM,1927,1500,3
DOM,1928,1600,2
DOM,1929,1500,2
DOM,1930,1100,2
DOM,1931,1100,2
DOM,1932,1100,2
DOM,1933,1100,2
DOM,1934,1200,3
DOM,1935,1000,3
DOM,1936,1800,3
DOM,1937,2000,3
DOM,1938,1900,3
DOM,1939,1900,2
DOM,1940,-9,3
DOM,1941,-9,3
DOM,1942,2113,4
DOM,1943,2355,4
DOM,1944,3141,4
DOM,1945,3574,4
DOM,1946,3856,7
DOM,1947,5500,10
DOM,1948,-9,15
DOM,1949,-9,15
DOM,1950,17649,15
DOM,1951,-9,15
DOM,1952,-9,16
DOM,1953,25178,16
DOM,1954,22369,16
DOM,1955,30372,9
DOM,1956,-9,9
DOM,1957,-9,18
DOM,1958,34500,18
DOM,1959,42600,18
DOM,1960,33400,18
DOM,1961,31600,19
DOM,1962,33100,19
DOM,1963,34000,20
DOM,1964,37000,19
DOM,1965,35000,17
DOM,1966,32400,19
DOM,1967,31200,19
DOM,1968,32500,18
DOM,1969,31000,17
DOM,1970,31600,17
DOM,1971,31900,16
DOM,1972,34400,16
DOM,1973,36600,16
DOM,1974,47600,18
DOM,1975,57200,18
DOM,1976,67400,18
DOM,1977,75800,19
DOM,1978,87100,19
DOM,1979,158000,19
DOM,1980,165000,24
DOM,1981,118000,24
DOM,1982,128000,25
DOM,1983,129000,23
DOM,1984,156000,22
DOM,1985,50990,22
DOM,1986,68690,21
DOM,1987,76600,21
DOM,1988,60000,20
DOM,1989,60620,21
DOM,1990,57210,21
DOM,1991,34790,21
DOM,1992,59000,22
DOM,1993,108000,22
DOM,1994,115000,22
DOM,1995,109000,22
DOM,1996,116000,22
DOM,1997,119000,22
DOM,1998,115000,25
DOM,1999,114000,30
DOM,2000,169000,24
DOM,2001,156000,24
DOM,2002,229000,24
DOM,2003,156000,26
DOM,2004,128000,25
DOM,2005,273000,25
DOM,2006,256000,25
DOM,2007,271000,25
DOM,2008,278000,50
DOM,2009,265000,50
DOM,2010,231000,50
DOM,2011,342000,25
DOM,2012,363000,25
DOM,2013,378000,25
DOM,2014,397000,46
DOM,2015,446000,46
DOM,2016,455000,56
JAM,1962,980,2
JAM,1963,4201,1
JAM,1964,4481,1
JAM,1965,4761,1
JAM,1966,5013,1
JAM,1967,5321,1
JAM,1968,5741,1
JAM,1969,5321,1
JAM,1970,6441,1
JAM,1971,7788,4
JAM,1972,8863,4
JAM,1973,14520,4
JAM,1974,16939,4
JAM,1975,21999,1
JAM,1976,29260,1
JAM,1977,31020,1
JAM,1978,27419,2
JAM,1979,25014,1
JAM,1980,23448,2
JAM,1981,36112,2
JAM,1982,35997,2
JAM,1983,39014,3
JAM,1984,26332,2
JAM,1985,25557,2
JAM,1986,20620,3
JAM,1987,25060,3
JAM,1988,34000,3
JAM,1989,27680,3
JAM,1990,32520,3
JAM,1991,24600,3
JAM,1992,19360,3
JAM,1993,27000,3
JAM,1994,28000,3
JAM,1995,28000,3
JAM,1996,28000,3
JAM,1997,42000,3
JAM,1998,45000,3
JAM,1999,51000,3
JAM,2000,42000,3
JAM,2001,40000,3
JAM,2002,56000,3
JAM,2003,52000,3
JAM,2004,53000,3
JAM,2005,56000,3
JAM,2006,57000,3
JAM,2007,108000,3
JAM,2008,96000,3
JAM,2009,62000,3
JAM,2010,102000,3
JAM,2011,139000,3
JAM,2012,139000,3
JAM,2013,129000,3
JAM,2014,120000,3
JAM,2015,119000,3
JAM,2016,115000,3
TRI,1962,0,1
TRI,1963,1930,1
TRI,1964,2865,1
TRI,1965,2515,1
TRI,1966,2515,1
TRI,1967,2632,1
TRI,1968,2350,1
TRI,1969,2850,1
TRI,1970,3350,1
TRI,1971,3949,1
TRI,1972,4164,1
TRI,1973,3726,1
TRI,1974,4627,1
TRI,1975,5991,1
TRI,1976,6564,1
TRI,1977,8042,1
TRI,1978,14900,1
TRI,1979,21903,1
TRI,1980,29103,1
TRI,1981,43009,2
TRI,1982,68790,2
TRI,1983,81022,2
TRI,1984,75020,2
TRI,1985,73470,2
TRI,1986,193750,2
TRI,1987,-9,2
TRI,1988,-9,2
TRI,1989,59000,2
TRI,1990,-9,2
TRI,1991,29000,2
TRI,1992,74000,2
TRI,1993,-9,2
TRI,1994,77000,2
TRI,1995,72000,2
TRI,1996,67000,2
TRI,1997,40000,2
TRI,1998,44000,2
TRI,1999,40000,2
TRI,2000,62000,3
TRI,2001,67000,3
TRI,2002,28000,3
TRI,2003,55000,3
TRI,2004,70000,3
TRI,2005,64000,3
TRI,2006,52000,3
TRI,2007,55000,3
TRI,2008,143000,3
TRI,2009,106000,4
TRI,2010,170000,4
TRI,2011,379000,4
TRI,2012,460000,4
TRI,2013,445000,4
TRI,2014,436000,4
TRI,2015,443000,4
TRI,2016,608000,4
BAR,1966,0,0
BAR,1967,0,0
BAR,1968,0,0
BAR,1969,0,0
BAR,1970,0,0
BAR,1971,600,0
BAR,1972,800,0
BAR,1973,1000,0
BAR,1974,1000,0
BAR,1975,1000,0
BAR,1976,800,0
BAR,1977,1000,0
BAR,1978,1000,0
BAR,1979,3000,2
BAR,1980,10000,1
BAR,1981,11000,1
BAR,1982,8000,1
BAR,1983,9000,1
BAR,1984,11000,1
BAR,1985,10000,1
BAR,1986,9000,1
BAR,1987,8000,1
BAR,1988,11000,0
BAR,1989,10000,0
BAR,1990,21300,0
BAR,1991,-9,0
BAR,1992,-9,0
BAR,1993,12000,0
BAR,1994,13000,0
BAR,1995,14000,0
BAR,1996,14000,0
BAR,1997,12000,0
BAR,1998,13000,0
BAR,1999,12000,0
BAR,2000,13000,1
BAR,2001,13000,1
BAR,2002,13000,1
BAR,2003,24000,1
BAR,2004,24000,1
BAR,2005,26000,1
BAR,2006,27000,1
BAR,2007,28000,1
BAR,2008,30000,1
BAR,2009,26000,1
BAR,2010,30000,1
BAR,2011,33000,1
BAR,2012,33000,1
BAR,2013,33000,1
BAR,2014,33000,1
BAR,2015,33000,1
BAR,2016,36000,1
DMA,1978,218,0
DMA,1979,240,0
DMA,1980,-9,0
DMA,1981,-9,0
DMA,1982,-9,0
DMA,1983,-9,0
DMA,1984,-9,0
DMA,1985,-9,0
DMA,1986,0,0
DMA,1987,0,0
DMA,1988,0,0
DMA,1989,0,0
DMA,1990,0,0
DMA,1991,0,0
DMA,1992,0,0
DMA,1993,0,0
DMA,1994,0,0
DMA,1995,0,0
DMA,1996,0,0
DMA,1997,0,0
DMA,1998,0,0
DMA,1999,0,0
DMA,2000,0,0
DMA,2001,0,0
DMA,2002,0,0
DMA,2003,0,0
DMA,2004,0,0
DMA,2005,0,0
DMA,2006,0,0
DMA,2007,0,0
DMA,2008,0,0
DMA,2009,0,0
DMA,2010,0,0
DMA,2011,0,0
DMA,2012,0,0
DMA,2013,0,0
DMA,2014,-9,0
DMA,2015,0,0
DMA,2016,0,0
GRN,1974,1408,0
GRN,1975,1700,0
GRN,1976,1829,0
GRN,1977,2262,0
GRN,1978,-9,0
GRN,1979,-9,0
GRN,1980,-9,1
GRN,1981,-9,1
GRN,1982,6730,1
GRN,1983,2300,1
GRN,1984,-9,0
GRN,1985,-9,0
GRN,1986,-9,0
GRN,1987,-9,0
GRN,1988,-9,0
GRN,1989,-9,0
GRN,1990,-9,0
GRN,1991,-9,0
GRN,1992,-9,0
GRN,1993,-9,0
GRN,1994,0,0
GRN,1995,0,0
GRN,1996,0,0
GRN,1997,0,0
GRN,1998,0,0
GRN,1999,0,0
GRN,2000,0,0
GRN,2001,0,0
GRN,2002,0,0
GRN,2003,0,0
GRN,2004,0,0
GRN,2005,0,0
GRN,2006,0,0
GRN,2007,0,0
GRN,2008,0,0
GRN,2009,0,0
GRN,2010,0,0
GRN,2011,0,0
GRN,2012,0,0
GRN,2013,0,0
GRN,2014,-9,0
GRN,2015,0,0
GRN,2016,0,0
SLU,1979,0,0
SLU,1980,0,0
SLU,1981,0,0
SLU,1982,0,0
SLU,1983,0,0
SLU,1984,0,0
SLU,1985,0,0
SLU,1986,0,0
SLU,1987,0,0
SLU,1988,0,0
SLU,1989,0,0
SLU,1990,0,0
SLU,1991,0,0
SLU,1992,0,0
SLU,1993,0,0
SLU,1994,0,0
SLU,1995,0,0
SLU,1996,0,0
SLU,1997,0,0
SLU,1998,0,0
SLU,1999,0,0
SLU,2000,0,0
SLU,2001,0,0
SLU,2002,0,0
SLU,2003,0,0
SLU,2004,0,0
SLU,2005,0,0
SLU,2006,0,0
SLU,2007,0,0
SLU,2008,0,0
SLU,2009,0,0
SLU,2010,0,0
SLU,2011,0,0
SLU,2012,0,0
SLU,2013,0,0
SLU,2014,-9,0
SLU,2015,0,0
SLU,2016,0,0
SVG,1979,1017,0
SVG,1980,1148,0
SVG,1981,1296,0
SVG,1982,1677,0
SVG,1983,1925,0
SVG,1984,2296,0
SVG,1985,2148,0
SVG,1986,2703,0
SVG,1987,3000,0
SVG,1988,3074,0
SVG,1989,3222,0
SVG,1990,3222,0
SVG,1991,-9,0
SVG,1992,-9,0
SVG,1993,-9,0
SVG,1994,0,0
SVG,1995,0,0
SVG,1996,0,0
SVG,1997,0,0
SVG,1998,0,0
SVG,1999,0,0
SVG,2000,0,0
SVG,2001,0,0
SVG,2002,0,0
SVG,2003,0,0
SVG,2004,0,0
SVG,2005,0,0
SVG,2006,0,0
SVG,2007,0,0
SVG,2008,0,0
SVG,2009,0,0
SVG,2010,0,0
SVG,2011,0,0
SVG,2012,0,0
SVG,2013,0,0
SVG,2014,-9,0
SVG,2015,0,0
SVG,2016,0,0
AAB,1981,0,0
AAB,1982,-9,0
AAB,1983,-9,0
AAB,1984,-9,0
AAB,1985,-9,0
AAB,1986,-9,0
AAB,1987,-9,0
AAB,1988,-9,0
AAB,1989,-9,0
AAB,1990,3900,0
AAB,1991,-9,0
AAB,1992,-9,0
AAB,1993,-9,0
AAB,1994,3000,0
AAB,1995,3000,0
AAB,1996,4000,0
AAB,1997,3000,0
AAB,1998,4000,0
AAB,1999,4000,0
AAB,2000,4000,0
AAB,2001,4000,0
AAB,2002,4000,0
AAB,2003,4000,0
AAB,2004,4000,0
AAB,2005,5000,0
AAB,2006,5000,0
AAB,2007,5000,0
AAB,2008,7000,0
AAB,2009,8000,0
AAB,2010,7000,0
AAB,2011,29000,0
AAB,2012,28000,0
AAB,2013,26000,0
AAB,2014,27000,0
AAB,2015,27000,0
AAB,2016,26000,0
SKN,1983,0,0
SKN,1984,0,0
SKN,1985,90,0
SKN,1986,200,0
SKN,1987,29,0
SKN,1988,-9,0
SKN,1989,-9,0
SKN,1990,-9,0
SKN,1991,-9,0
SKN,1992,-9,0
SKN,1993,-9,0
SKN,1994,-9,0
SKN,1995,-9,0
SKN,1996,-9,0
SKN,1997,-9,0
SKN,1998,-9,0
SKN,1999,-9,0
SKN,2000,-9,0
SKN,2001,-9,0
SKN,2002,0,0
SKN,2003,0,0
SKN,2004,0,0
SKN,2005,0,0
SKN,2006,0,0
SKN,2007,0,0
SKN,2008,0,0
SKN,2009,0,0
SKN,2010,0,0
SKN,2011,0,0
SKN,2012,0,0
SKN,2013,0,0
SKN,2014,-9,0
SKN,2015,0,0
SKN,2016,0,0
MEX,1831,-9,25
MEX,1832,-9,25
MEX,1833,-9,25
MEX,1834,-9,25
MEX,1835,-9,25
MEX,1836,-9,25
MEX,1837,-9,25
MEX,1838,-9,25
MEX,1839,-9,25
MEX,1840,-9,20
MEX,1841,-9,20
MEX,1842,-9,20
MEX,1843,-9,20
MEX,1844,1617,20
MEX,1845,-9,20
MEX,1846,5283,20
MEX,1847,-9,20
MEX,1848,-9,21
MEX,1849,-9,22
MEX,1850,-9,23
MEX,1851,-9,24
MEX,1852,-9,25
MEX,1853,-9,26
MEX,1854,-9,27
MEX,1855,-9,26
MEX,1856,-9,26
MEX,1857,-9,26
MEX,1858,-9,26
MEX,1859,-9,26
MEX,1860,-9,26
MEX,1861,-9,26
MEX,1862,-9,27
MEX,1863,-9,10
MEX,1864,-9,15
MEX,1865,2157,21
MEX,1866,2594,40
MEX,1867,-9,33
MEX,1868,1690,26
MEX,1869,1741,18
MEX,1870,1440,18
MEX,1871,1743,18
MEX,1872,2090,18
MEX,1873,2087,20
MEX,1874,2112,22
MEX,1875,2185,22
MEX,1876,2179,22
MEX,1877,2249,22
MEX,1878,1415,22
MEX,1879,1826,22
MEX,1880,1666,25
MEX,1881,2036,22
MEX,1882,1802,22
MEX,1883,1771,21
MEX,1884,1712,21
MEX,1885,1719,21
MEX,1886,2500,21
MEX,1887,2408,21
MEX,1888,2768,32
MEX,1889,2784,37
MEX,1890,2593,37
MEX,1891,2643,38
MEX,1892,2628,49
MEX,1893,2611,38
MEX,1894,2336,38
MEX,1895,2128,38
MEX,1896,1094,35
MEX,1897,1214,33
MEX,1898,1275,33
MEX,1899,1140,33
MEX,1900,1348,33
MEX,1901,1388,33
MEX,1902,1413,30
MEX,1903,1424,29
MEX,1904,1622,29
MEX,1905,1639,29
