stateabb,year,irst,pec
USA,1816,80,254
USA,1817,80,277
USA,1818,90,302
USA,1819,90,293
USA,1820,110,303
USA,1821,100,321
USA,1822,100,332
USA,1823,110,345
USA,1824,110,390
USA,1825,120,424
USA,1826,120,502
USA,1827,130,556
USA,1828,130,609
USA,1829,144,686
USA,1830,168,799
USA,1831,194,864
USA,1832,203,1154
USA,1833,220,1348
USA,1834,240,1291
USA,1835,260,1650
USA,1836,280,1807
USA,1837,290,2027
USA,1838,310,1922
USA,1839,330,2159
USA,1840,291,2244
USA,1841,290,2374
USA,1842,219,2643
USA,1843,320,2967
USA,1844,400,3557
USA,1845,490,4284
USA,1846,777,4863
USA,1847,813,5767
USA,1848,813,6424
USA,1849,660,6976
USA,1850,572,7607
USA,1851,420,9438
USA,1852,508,10270
USA,1853,730,11570
USA,1854,668,13632
USA,1855,711,14651
USA,1856,801,15378
USA,1857,724,15779
USA,1858,640,16015
USA,1859,763,17435
USA,1860,835,18282
USA,1861,664,17660
USA,1862,715,18366
USA,1863,860,21157
USA,1864,1031,22597
USA,1865,845,22658
USA,1866,1225,26846
USA,1867,1326,28027
USA,1868,1454,31646
USA,1869,1739,35983
USA,1870,1692,37779
USA,1871,1735,39546
USA,1872,2590,48479
USA,1873,2602,53674
USA,1874,2439,51736
USA,1875,2057,52194
USA,1876,1899,51080
USA,1877,2100,56754
USA,1878,2338,55588
USA,1879,2786,67742
USA,1880,3896,76969
USA,1881,4211,81416
USA,1882,4697,91087
USA,1883,4669,97750
USA,1884,4164,102689
USA,1885,4110,103359
USA,1886,5774,107964
USA,1887,6520,123077
USA,1888,6594,139275
USA,1889,7726,133959
USA,1890,9350,150826
USA,1891,8412,162044
USA,1892,9304,171105
USA,1893,7238,172586
USA,1894,6764,161748
USA,1895,9598,182744
USA,1896,8762,183531
USA,1897,9808,190740
USA,1898,11963,207271
USA,1899,13839,236406
USA,1900,10352,256081
USA,1901,13690,280242
USA,1902,15187,300106
USA,1903,14768,356268
USA,1904,14082,353388
USA,1905,20345,397156
USA,1906,23774,419190
USA,1907,23737,487862
USA,1908,14248,432351
USA,1909,24339,478835
USA,1910,26512,523027
USA,1911,24056,521004
USA,1912,31753,557076
USA,1913,31803,600107
USA,1914,23890,556778
USA,1915,32667,580731
USA,1916,43460,646120
USA,1917,45784,710959
USA,1918,45176,743925
USA,1919,35228,648393
USA,1920,42809,743808
USA,1921,20101,622541
USA,1922,36173,641311
USA,1923,45665,834889
USA,1924,38540,762070
USA,1925,46122,790029
USA,1926,49069,852304
USA,1927,45656,842978
USA,1928,52371,833446
USA,1929,57339,903141
USA,1930,41352,814891
USA,1931,26363,709367
USA,1932,13901,612400
USA,1933,23605,649968
USA,1934,26474,689998
USA,1935,34640,721900
USA,1936,48534,825460
USA,1937,51380,869666
USA,1938,28805,751346
USA,1939,47898,829091
USA,1940,60765,939812
USA,1941,75150,1031214
USA,1942,78047,1103469
USA,1943,80592,1169553
USA,1944,81322,1247643
USA,1945,72304,1219068
USA,1946,60421,1188144
USA,1947,77015,1315777
USA,1948,80413,1396394
USA,1949,70740,1199344
USA,1950,87848,1241836
USA,1951,95435,1325948
USA,1952,84520,1309824
USA,1953,101250,1347597
USA,1954,80115,1302449
USA,1955,106173,1415958
USA,1956,104522,1492506
USA,1957,102253,1494767
USA,1958,77342,1437859
USA,1959,84773,1513627
USA,1960,90067,1421218
USA,1961,88917,1447002
USA,1962,89202,1508570
USA,1963,99120,1589655
USA,1964,115281,1610682
USA,1965,119260,1700357
USA,1966,121655,1784048
USA,1967,115406,1903194
USA,1968,119262,2094353
USA,1969,128152,2198902
USA,1970,119309,2276904
USA,1971,109265,2311854
USA,1972,120875,2396418
USA,1973,136804,2490304
USA,1974,132196,2430725
USA,1975,105897,2393766
USA,1976,116121,2536257
USA,1977,113701,2619481
USA,1978,124314,2612982
USA,1979,123688,2659868
USA,1980,101456,2584210
USA,1981,109614,2502657
USA,1982,67656,2380353
USA,1983,76762,2378677
USA,1984,83940,2467563
USA,1985,80067,2466405
USA,1986,74032,2468629
USA,1987,80876,2561765
USA,1988,90631,2669996
USA,1989,87722,2745073
USA,1990,89726,2798225
USA,1991,79738,2827021
USA,1992,84322,2856725
USA,1993,88793,2921265
USA,1994,91244,2962511
USA,1995,95191,2996708
USA,1996,95535,3055692
USA,1997,98485,3114015
USA,1998,98658,3126886
USA,1999,97427,3161089
USA,2000,101803,3283713
USA,2001,90104,3184088
USA,2002,91587,3227356
USA,2003,93677,3243291
USA,2004,99681,3267987
USA,2005,94897,3267376
USA,2006,98557,3245355
USA,2007,98102,3309665
USA,2008,91350,3258397
USA,2009,58196,3108786
USA,2010,80495,3211750
USA,2011,86398,3205649
USA,2012,88695,3169126
USA,2013,86878,3222039
USA,2014,88174,3315793
USA,2015,78845,3317109
USA,2016,78475,3293117
CAN,1920,1118,31979
CAN,1921,678,30630
CAN,1922,494,26533
CAN,1923,899,35626
CAN,1924,661,29947
CAN,1925,765,29242
CAN,1926,789,33207
CAN,1927,922,36491
CAN,1928,1255,37299
CAN,1929,1400,40842
CAN,1930,1026,39101
CAN,1931,683,31481
CAN,1932,345,29101
CAN,1933,417,29070
CAN,1934,770,33577
CAN,1935,957,33523
CAN,1936,1134,36524
CAN,1937,1425,39978
CAN,1938,1174,36854
CAN,1939,1407,40964
CAN,1940,2045,46411
CAN,1941,2460,51156
CAN,1942,2821,55917
CAN,1943,2725,58587
CAN,1944,2736,60382
CAN,1945,2611,56093
CAN,1946,2111,59632
CAN,1947,2672,62009
CAN,1948,2903,68228
CAN,1949,2892,63490
CAN,1950,3070,60887
CAN,1951,3237,64945
CAN,1952,3359,64874
CAN,1953,3734,67118
CAN,1954,2898,67691
CAN,1955,4114,72628
CAN,1956,4809,83921
CAN,1957,4598,82785
CAN,1958,3955,84364
CAN,1959,5354,90080
CAN,1960,5270,94926
CAN,1961,5886,99412
CAN,1962,6507,109109
CAN,1963,7436,112561
CAN,1964,8282,128155
CAN,1965,9132,135644
CAN,1966,9093,141051
CAN,1967,8797,151902
CAN,1968,10161,168715
CAN,1969,9350,172706
CAN,1970,11198,188188
CAN,1971,11040,199928
CAN,1972,11859,221405
CAN,1973,13386,235183
CAN,1974,13623,242091
CAN,1975,13025,243749
CAN,1976,13290,252431
CAN,1977,13581,265585
CAN,1978,14898,269236
CAN,1979,16078,288132
CAN,1980,15901,286861
CAN,1981,14811,278108
CAN,1982,11871,259635
CAN,1983,12832,257445
CAN,1984,14699,273560
CAN,1985,13459,270146
CAN,1986,14081,260704
CAN,1987,14737,275213
CAN,1988,15193,289860
CAN,1989,15458,300105
CAN,1990,12281,289980
CAN,1991,12987,285843
CAN,1992,13924,292070
CAN,1993,14387,301518
CAN,1994,13897,307868
CAN,1995,14415,313414
CAN,1996,14735,323697
CAN,1997,15553,332197
CAN,1998,15930,332946
CAN,1999,16235,341239
CAN,2000,16595,356625
CAN,2001,15276,355214
CAN,2002,16002,356382
CAN,2003,15929,374595
CAN,2004,16305,376103
CAN,2005,15327,370302
CAN,2006,15493,373891
CAN,2007,15572,374992
CAN,2008,14845,363465
CAN,2009,9286,344629
CAN,2010,13013,344485
CAN,2011,12967,346960
CAN,2012,13507,355887
CAN,2013,12417,354730
CAN,2014,12730,367369
CAN,2015,12473,370176
CAN,2016,12646,358887
BHM,1973,0,19010
BHM,1974,0,15960
BHM,1975,0,15446
BHM,1976,0,13080
BHM,1977,0,20516
BHM,1978,0,13337
BHM,1979,0,12245
BHM,1980,0,14391
BHM,1981,0,11266
BHM,1982,0,12330
BHM,1983,0,11071
BHM,1984,0,8535
BHM,1985,0,1361
BHM,1986,0,111
BHM,1987,0,111
BHM,1988,0,112
BHM,1989,0,114
BHM,1990,0,117
BHM,1991,0,139
BHM,1992,0,143
BHM,1993,0,150
BHM,1994,0,157
BHM,1995,0,160
BHM,1996,0,165
BHM,1997,0,174
BHM,1998,0,188
BHM,1999,0,197
BHM,2000,0,209
BHM,2001,0,218
BHM,2002,0,236
BHM,2003,0,256
BHM,2004,0,253
BHM,2005,0,266
BHM,2006,0,271
BHM,2007,0,286
BHM,2008,0,287
BHM,2009,0,273
BHM,2010,0,257
BHM,2011,0,263
BHM,2012,0,244
BHM,2013,0,242
BHM,2014,0,247
BHM,2015,0,256
BHM,2016,0,252
CUB,1902,0,5
CUB,1903,0,5
CUB,1904,0,5
CUB,1905,0,6
CUB,1906,0,5
CUB,1909,0,11
CUB,1910,0,12
CUB,1911,0,23
CUB,1912,0,16
CUB,1913,0,8
CUB,1914,0,8
CUB,1915,0,13
CUB,1916,0,20
CUB,1917,0,14
CUB,1918,0,21
CUB,1919,0,19
CUB,1920,0,21
CUB,1921,0,23
CUB,1922,0,10
CUB,1923,0,15
CUB,1924,0,13
CUB,1925,0,26
CUB,1926,0,30
CUB,1927,0,30
CUB,1928,0,29
CUB,1929,0,32
CUB,1930,0,33
CUB,1931,0,29
CUB,1932,0,26
CUB,1933,0,26
CUB,1934,0,29
CUB,1935,0,31
CUB,1936,0,34
CUB,1937,0,38
CUB,1938,0,40
CUB,1939,0,42
CUB,1940,0,44
CUB,1941,0,46
CUB,1942,0,47
CUB,1943,0,49
CUB,1944,0,56
CUB,1945,0,74
CUB,1946,0,81
CUB,1947,0,95
CUB,1948,0,97
CUB,1949,0,98
CUB,1950,0,431
CUB,1951,0,612
CUB,1952,0,643
CUB,1953,0,712
CUB,1954,0,706
CUB,1955,0,802
CUB,1956,3,884
CUB,1957,12,3224
CUB,1958,20,5496
CUB,1959,29,5298
CUB,1960,37,4748
CUB,1961,46,4431
CUB,1962,54,5378
CUB,1963,63,5412
CUB,1964,52,5023
CUB,1965,36,5189
CUB,1966,67,5347
CUB,1967,120,5544
CUB,1968,120,10742
CUB,1969,119,11264
CUB,1970,140,13767
CUB,1971,111,12499
CUB,1972,187,12042
CUB,1973,221,13596
CUB,1974,250,14384
CUB,1975,298,15473
CUB,1976,250,15497
CUB,1977,330,16463
CUB,1978,324,15953
CUB,1979,313,16619
CUB,1980,292,15706
CUB,1981,317,16370
CUB,1982,290,17217
CUB,1983,352,16987
CUB,1984,325,17243
CUB,1985,401,17039
CUB,1986,412,17434
CUB,1987,402,18249
CUB,1988,321,19915
CUB,1989,314,19914
CUB,1990,270,18878
CUB,1991,270,16155
CUB,1992,200,11917
CUB,1993,100,9733
CUB,1994,131,9711
CUB,1995,207,9037
CUB,1996,231,10289
CUB,1997,342,9291
CUB,1998,283,8930
CUB,1999,303,10114
CUB,2000,336,12406
CUB,2001,270,12925
CUB,2002,268,12989
CUB,2003,210,13820
CUB,2004,192,12731
CUB,2005,245,12063
CUB,2006,257,11986
CUB,2007,268,12375
CUB,2008,279,16377
CUB,2009,267,17071
CUB,2010,278,16275
CUB,2011,282,16316
CUB,2012,277,16460
CUB,2013,322,16137
CUB,2014,256,16322
CUB,2015,284,16123
CUB,2016,244,14483
HAI,1859,0,0
HAI,1860,0,0
HAI,1861,0,0
HAI,1862,0,0
HAI,1863,0,0
HAI,1864,0,0
HAI,1865,0,0
HAI,1866,0,0
HAI,1867,0,0
HAI,1868,0,0
HAI,1869,0,0
HAI,1870,0,0
HAI,1871,0,0
HAI,1872,0,0
HAI,1873,0,0
HAI,1874,0,0
HAI,1875,0,0
HAI,1876,0,0
HAI,1877,0,0
HAI,1878,0,0
HAI,1879,0,0
HAI,1880,0,0
HAI,1881,0,0
HAI,1882,0,0
HAI,1883,0,0
HAI,1884,0,0
HAI,1885,0,0
HAI,1886,0,0
HAI,1887,0,0
HAI,1888,0,0
HAI,1889,0,0
HAI,1890,0,0
HAI,1891,0,0
HAI,1892,0,0
HAI,1893,0,0
HAI,1894,0,0
HAI,1895,0,0
HAI,1896,0,0
HAI,1897,0,0
HAI,1898,0,0
HAI,1899,0,0
HAI,1900,0,0
HAI,1901,0,0
HAI,1902,0,0
HAI,1903,0,0
HAI,1904,0,0
HAI,1905,0,0
HAI,1906,0,0
HAI,1907,0,0
HAI,1908,0,0
HAI,1909,0,0
HAI,1910,0,0
HAI,1911,0,0
HAI,1912,0,0
HAI,1913,0,0
HAI,1914,0,0
HAI,1915,0,0
HAI,1934,0,0
HAI,1935,0,0
HAI,1936,0,0
HAI,1937,0,0
HAI,1938,0,0
HAI,1939,0,0
HAI,1940,0,0
HAI,1941,0,0
HAI,1942,0,0
HAI,1943,0,0
HAI,1944,0,0
HAI,1945,0,0
HAI,1946,0,0
HAI,1947,0,0
HAI,1948,0,0
HAI,1949,0,0
HAI,1950,0,1
HAI,1951,0,2
HAI,1952,0,2
HAI,1953,0,2
HAI,1954,0,3
HAI,1955,0,3
HAI,1956,0,3
HAI,1957,0,4
HAI,1958,0,6
HAI,1959,0,7
HAI,1960,0,7
HAI,1961,0,10
HAI,1962,0,12
HAI,1963,0,12
HAI,1964,0,12
HAI,1965,0,12
HAI,1966,0,12
HAI,1967,0,13
HAI,1968,0,67
HAI,1969,0,65
HAI,1970,0,483
HAI,1971,0,1937
HAI,1972,0,2007
HAI,1973,0,2035
HAI,1974,0,2148
HAI,1975,0,2224
HAI,1976,0,2298
HAI,1977,0,2371
HAI,1978,0,2461
HAI,1979,0,2522
HAI,1980,0,2653
HAI,1981,0,2198
HAI,1982,0,2274
HAI,1983,0,2325
HAI,1984,0,2338
HAI,1985,0,2366
HAI,1986,0,1719
HAI,1987,0,1746
HAI,1988,0,1790
HAI,1989,0,1782
HAI,1990,0,1819
HAI,1991,0,1853
HAI,1992,0,1963
HAI,1993,0,1928
HAI,1994,0,1968
HAI,1995,0,2019
HAI,1996,0,2322
HAI,1997,0,2319
HAI,1998,0,2367
HAI,1999,0,2350
HAI,2000,0,2235
HAI,2001,0,2243
HAI,2002,0,2511
HAI,2003,0,2425
HAI,2004,0,2398
HAI,2005,0,3954
HAI,2006,0,4077
HAI,2007,0,4187
HAI,2008,0,4253
HAI,2009,0,4418
HAI,2010,0,4511
HAI,2011,0,4680
HAI,2012,0,4876
HAI,2013,0,4873
HAI,2014,0,4743
HAI,2015,0,4850
HAI,2016,0,4923
DOM,1894,0,0
DOM,1895,0,0
DOM,1896,0,0
DOM,1897,0,0
DOM,1898,0,0
DOM,1899,0,0
DOM,1900,0,0
DOM,1901,0,0
DOM,1902,0,0
DOM,1903,0,0
DOM,1904,0,0
DOM,1905,0,0
DOM,1906,0,0
DOM,1907,0,0
DOM,1908,0,0
DOM,1909,0,0
DOM,1910,0,0
DOM,1911,0,0
DOM,1912,0,0
DOM,1913,0,0
DOM,1914,0,0
DOM,1915,0,0
DOM,1916,0,0
DOM,1924,0,0
DOM,1925,0,0
DOM,1926,0,0
DOM,1927,0,0
DOM,1928,0,0
DOM,1929,0,0
DOM,1930,0,0
DOM,1931,0,0
DOM,1932,0,0
DOM,1933,0,0
DOM,1934,0,0
DOM,1935,0,0
DOM,1936,0,0
DOM,1937,0,0
DOM,1938,0,0
DOM,1939,0,0
DOM,1940,0,0
DOM,1941,0,0
DOM,1942,0,0
DOM,1943,0,0
DOM,1944,0,0
DOM,1945,0,4
DOM,1946,0,5
DOM,1947,0,6
DOM,1948,0,7
DOM,1949,0,9
DOM,1950,0,10
DOM,1951,0,12
DOM,1952,0,14
DOM,1953,0,21
DOM,1954,0,23
DOM,1955,0,24
DOM,1956,0,29
DOM,1957,0,32
DOM,1958,0,35
DOM,1959,0,39
DOM,1960,0,43
DOM,1961,0,46
DOM,1962,0,54
DOM,1963,0,56
DOM,1964,0,65
DOM,1965,0,62
DOM,1966,0,77
DOM,1967,0,86
DOM,1968,0,667
DOM,1969,0,868
DOM,1970,0,1123
DOM,1971,0,1234
DOM,1972,0,1349
DOM,1973,0,2534
DOM,1974,0,2852
DOM,1975,0,3254
DOM,1976,0,3487
DOM,1977,0,3573
DOM,1978,0,3703
DOM,1979,0,3947
DOM,1980,0,3610
DOM,1981,0,3698
DOM,1982,0,3575
DOM,1983,0,4108
DOM,1984,0,3911
DOM,1985,0,3957
DOM,1986,0,4098
DOM,1987,0,4471
DOM,1988,0,4022
DOM,1989,0,4086
DOM,1990,37,3316
DOM,1991,39,4140
DOM,1992,33,4271
DOM,1993,35,4695
DOM,1994,37,4948
DOM,1995,40,4829
DOM,1996,42,5012
DOM,1997,82,5077
DOM,1998,36,5076
DOM,1999,43,4709
DOM,2000,39,4737
DOM,2001,36,4937
DOM,2002,0,5224
DOM,2003,0,6805
DOM,2004,0,6276
DOM,2005,0,6039
DOM,2006,0,6532
DOM,2007,0,7001
DOM,2008,0,6678
DOM,2009,0,6035
DOM,2010,0,6471
DOM,2011,0,6269
DOM,2012,0,6418
DOM,2013,0,6686
DOM,2014,0,6911
DOM,2015,0,6227
DOM,2016,0,6733
JAM,1962,0,75
JAM,1963,0,80
JAM,1964,0,88
JAM,1965,0,98
JAM,1966,0,107
JAM,1967,0,120
JAM,1968,0,2269
JAM,1969,0,2840
JAM,1970,0,2691
JAM,1971,0,3008
JAM,1972,0,3019
JAM,1973,0,3276
JAM,1974,0,2956
JAM,1975,0,2689
JAM,1976,0,2583
JAM,1977,0,1988
JAM,1978,0,2039
JAM,1979,0,2251
JAM,1980,0,1802
JAM,1981,0,1513
JAM,1982,0,1716
JAM,1983,0,2013
JAM,1984,0,1361
JAM,1985,0,1690
JAM,1986,0,1802
JAM,1987,0,1426
JAM,1988,0,1625
JAM,1989,0,1831
JAM,1990,0,2355
JAM,1991,0,2162
JAM,1992,0,2391
JAM,1993,0,1897
JAM,1994,0,2142
JAM,1995,0,2518
JAM,1996,0,2716
JAM,1997,0,2865
JAM,1998,0,2212
JAM,1999,0,1974
JAM,2000,0,2766
JAM,2001,0,2744
JAM,2002,0,3176
JAM,2003,0,2801
JAM,2004,0,2528
JAM,2005,0,2107
JAM,2006,0,2875
JAM,2007,0,2491
JAM,2008,0,2428
JAM,2009,0,2573
JAM,2010,0,2374
JAM,2011,0,2532
JAM,2012,0,2512
JAM,2013,0,2499
JAM,2014,0,2186
JAM,2015,0,2586
JAM,2016,0,2594
TRI,1962,0,22465
TRI,1963,0,23364
TRI,1964,0,26246
TRI,1965,0,27924
TRI,1966,0,29432
TRI,1967,0,28644
TRI,1968,0,31408
TRI,1969,0,31404
TRI,1970,0,33705
TRI,1971,0,31509
TRI,1972,0,31208
TRI,1973,0,30564
TRI,1974,0,28255
TRI,1975,0,19180
TRI,1976,0,27076
TRI,1977,0,23912
TRI,1978,0,21576
TRI,1979,0,21431
TRI,1980,0,22604
TRI,1981,0,17944
TRI,1982,0,18218
TRI,1983,0,12392
TRI,1984,0,12080
TRI,1985,0,13826
TRI,1986,0,12417
TRI,1987,0,12960
TRI,1988,0,12077
TRI,1989,0,12939
TRI,1990,371,14755
TRI,1991,440,16102
TRI,1992,553,17085
TRI,1993,519,16315
TRI,1994,631,16766
TRI,1995,738,16394
TRI,1996,695,18293
TRI,1997,736,17932
TRI,1998,777,22586
TRI,1999,729,24899
TRI,2000,741,27125
TRI,2001,668,28721
TRI,2002,817,30113
TRI,2003,903,32238
TRI,2004,815,32562
TRI,2005,712,37765
TRI,2006,673,40288
TRI,2007,682,41660
TRI,2008,489,40812
TRI,2009,417,41537
TRI,2010,572,41971
TRI,2011,603,42270
TRI,2012,628,39025
TRI,2013,616,41222
TRI,2014,487,39293
TRI,2015,591,40383
TRI,2016,36,39807
BAR,1966,0,122
BAR,1967,0,181
BAR,1968,0,342
BAR,1969,0,312
BAR,1970,0,335
BAR,1971,0,339
BAR,1972,0,330
BAR,1973,0,360
BAR,1974,0,331
BAR,1975,0,336
BAR,1976,0,341
BAR,1977,0,394
BAR,1978,0,391
BAR,1979,0,421
BAR,1980,0,456
BAR,1981,0,419
BAR,1982,0,416
BAR,1983,0,408
BAR,1984,0,440
BAR,1985,0,482
BAR,1986,0,536
BAR,1987,0,517
BAR,1988,0,533
BAR,1989,0,534
BAR,1990,0,565
BAR,1991,0,558
BAR,1992,0,430
BAR,1993,0,518
BAR,1994,0,428
BAR,1995,0,469
BAR,1996,0,458
BAR,1997,0,485
BAR,1998,0,156
BAR,1999,0,176
BAR,2000,0,177
BAR,2001,0,171
BAR,2002,0,169
BAR,2003,0,165
BAR,2004,0,170
BAR,2005,0,184
BAR,2006,0,192
BAR,2007,0,194
BAR,2008,0,191
BAR,2009,0,193
BAR,2010,0,188
BAR,2011,0,171
BAR,2012,0,182
BAR,2013,0,169
BAR,2014,0,158
BAR,2015,0,163
BAR,2016,0,166
DMA,1978,0,2
DMA,1979,0,1
DMA,1980,0,1
DMA,1981,0,2
DMA,1982,0,1
DMA,1983,0,2
DMA,1984,0,3
DMA,1985,0,3
DMA,1986,0,3
DMA,1987,0,3
DMA,1988,0,4
DMA,1989,0,4
DMA,1990,0,6
DMA,1991,0,7
DMA,1992,0,7
DMA,1993,0,6
DMA,1994,0,7
DMA,1995,0,10
DMA,1996,0,10
DMA,1997,0,11
DMA,1998,0,11
DMA,1999,0,12
DMA,2000,0,12
DMA,2001,0,12
DMA,2002,0,12
DMA,2003,0,12
DMA,2004,0,17
DMA,2005,0,17
DMA,2006,0,17
DMA,2007,0,18
DMA,2008,0,18
DMA,2009,0,19
DMA,2010,0,20
DMA,2011,0,21
DMA,2012,0,21
DMA,2013,0,20
DMA,2014,0,20
DMA,2015,0,21
DMA,2016,0,22
GRN,1974,0,3
GRN,1975,0,3
GRN,1976,0,3
GRN,1977,0,3
GRN,1978,0,4
GRN,1979,0,4
GRN,1980,0,7
GRN,1981,0,7
GRN,1982,0,7
GRN,1983,0,7
GRN,1984,0,7
GRN,1985,0,7
GRN,1986,0,8
GRN,1987,0,8
GRN,1988,0,8
GRN,1989,0,9
GRN,1990,0,10
GRN,1991,0,10
GRN,1992,0,11
GRN,1993,0,11
GRN,1994,0,13
GRN,1995,0,14
GRN,1996,0,15
GRN,1997,0,17
GRN,1998,0,19
GRN,1999,0,21
GRN,2000,0,23
GRN,2001,0,25
GRN,2002,0,26
GRN,2003,0,27
GRN,2004,0,24
GRN,2005,0,26
GRN,2006,0,29
GRN,2007,0,30
GRN,2008,0,32
GRN,2009,0,34
GRN,2010,0,34
GRN,2011,0,34
GRN,2012,0,33
GRN,2013,0,33
GRN,2014,0,34
GRN,2015,0,35
GRN,2016,0,36
SLU,1979,0,8
SLU,1980,0,7
SLU,1981,0,8
SLU,1982,0,8
SLU,1983,0,8
SLU,1984,0,8
SLU,1985,0,9
SLU,1986,0,9
SLU,1987,0,10
SLU,1988,0,13
SLU,1989,0,13
SLU,1990,0,16
SLU,1991,0,16
SLU,1992,0,22
SLU,1993,0,24
SLU,1994,0,25
SLU,1995,0,27
SLU,1996,0,27
SLU,1997,0,29
SLU,1998,0,32
SLU,1999,0,34
SLU,2000,0,37
SLU,2001,0,38
SLU,2002,0,38
SLU,2003,0,40
SLU,2004,0,41
SLU,2005,0,43
SLU,2006,0,44
SLU,2007,0,46
SLU,2008,0,46
SLU,2009,0,48
SLU,2010,0,50
SLU,2011,0,50
SLU,2012,0,50
SLU,2013,0,50
SLU,2014,0,50
SLU,2015,0,50
SLU,2016,0,51
SVG,1979,0,3
SVG,1980,0,7
SVG,1981,0,7
SVG,1982,0,7
SVG,1983,0,7
SVG,1984,0,7
SVG,1985,0,8
SVG,1986,0,8
SVG,1987,0,8
SVG,1988,0,9
SVG,1989,0,9
SVG,1990,0,9
SVG,1991,0,9
SVG,1992,0,10
SVG,1993,0,10
SVG,1994,0,11
SVG,1995,0,12
SVG,1996,0,12
SVG,1997,0,13
SVG,1998,0,13
SVG,1999,0,14
SVG,2000,0,14
SVG,2001,0,15
SVG,2002,0,15
SVG,2003,0,16
SVG,2004,0,17
SVG,2005,0,19
SVG,2006,0,19
SVG,2007,0,20
SVG,2008,0,20
SVG,2009,0,20
SVG,2010,0,20
SVG,2011,0,20
SVG,2012,0,19
SVG,2013,0,19
SVG,2014,0,22
SVG,2015,0,23
SVG,2016,0,19
AAB,1981,0,8
AAB,1982,0,133
AAB,1983,0,9
AAB,1984,0,9
AAB,1985,0,10
AAB,1986,0,11
AAB,1987,0,11
AAB,1988,0,11
AAB,1989,0,12
AAB,1990,0,12
AAB,1991,0,12
AAB,1992,0,12
AAB,1993,0,12
AAB,1994,0,12
AAB,1995,0,12
AAB,1996,0,13
AAB,1997,0,15
AAB,1998,0,16
AAB,1999,0,17
AAB,2000,0,18
AAB,2001,0,21
AAB,2002,0,24
AAB,2003,0,26
AAB,2004,0,27
AAB,2005,0,30
AAB,2006,0,32
AAB,2007,0,35
AAB,2008,0,36
AAB,2009,0,40
AAB,2010,0,41
AAB,2011,0,41
AAB,2012,0,41
AAB,2013,0,41
AAB,2014,0,41
AAB,2015,0,42
AAB,2016,0,42
SKN,1983,0,29
SKN,1984,0,31
SKN,1985,0,29
SKN,1986,0,30
SKN,1987,0,28
SKN,1988,0,29
SKN,1989,0,29
SKN,1990,0,32
SKN,1991,0,27
SKN,1992,0,27
SKN,1993,0,32
SKN,1994,0,38
SKN,1995,0,34
SKN,1996,0,30
SKN,1997,0,40
SKN,1998,0,36
SKN,1999,0,33
SKN,2000,0,35
SKN,2001,0,37
SKN,2002,0,39
SKN,2003,0,41
SKN,2004,0,39
SKN,2005,0,41
SKN,2006,0,24
SKN,2007,0,26
SKN,2008,0,25
SKN,2009,0,27
SKN,2010,0,27
SKN,2011,0,27
SKN,2012,0,27
SKN,2013,0,27
SKN,2014,0,27
SKN,2015,0,28
SKN,2016,0,27
MEX,1831,0,0
MEX,1832,0,0
MEX,1833,0,0
MEX,1834,0,0
MEX,1835,0,0
MEX,1836,0,1
MEX,1837,0,1
MEX,1838,0,1
MEX,1839,0,3
MEX,1840,0,3
MEX,1841,0,5
MEX,1842,0,8
MEX,1843,0,8
MEX,1844,0,9
MEX,1845,0,11
MEX,1846,0,12
MEX,1847,0,11
MEX,1848,0,13
MEX,1849,0,14
MEX,1850,0,19
MEX,1851,0,20
MEX,1852,0,21
MEX,1853,0,25
MEX,1854,0,23
MEX,1855,0,22
MEX,1856,0,28
MEX,1857,0,31
MEX,1858,0,32
MEX,1859,0,43
MEX,1860,0,53
MEX,1861,0,54
MEX,1862,0,64
MEX,1863,0,67
MEX,1864,0,65
MEX,1865,0,67
MEX,1866,0,64
MEX,1867,0,69
MEX,1868,0,70
MEX,1869,0,69
MEX,1870,0,83
MEX,1871,0,83
MEX,1872,0,93
MEX,1873,0,91
MEX,1874,10,88
MEX,1875,10,96
MEX,1876,10,100
MEX,1877,10,102
MEX,1878,10,101
MEX,1879,10,102
MEX,1880,10,116
MEX,1881,10,149
MEX,1882,10,155
MEX,1883,10,151
MEX,1884,10,155
MEX,1885,10,147
MEX,1886,10,157
MEX,1887,10,155
MEX,1888,10,162
MEX,1889,10,172
MEX,1890,10,185
MEX,1891,10,200
MEX,1892,10,350
MEX,1893,10,260
MEX,1894,10,300
MEX,1895,10,270
MEX,1896,10,253
MEX,1897,10,359
MEX,1898,10,367
MEX,1899,10,409
MEX,1900,0,388
MEX,1901,0,671
MEX,1902,0,719
MEX,1903,0,796
MEX,1904,0,859
MEX,1905,0,974
MEX,1906,0,875
MEX,1907,0,1241
MEX,1908,0,1708
MEX,1909,0,1882
MEX,1910,0,2083
MEX,1911,0,3945
MEX,1912,0,2784
MEX,1913,0,1459
MEX,1914,0,1310
MEX,1915,0,2080
MEX,1916,0,3185
MEX,1917,0,2274
MEX,1918,0,3281
MEX,1919,21,3120
MEX,1920,32,3377
MEX,1921,43,3666
MEX,1922,53,1603
MEX,1923,60,2501
MEX,1924,38,2142
MEX,1925,76,4453
MEX,1926,79,5313
MEX,1927,66,5291
MEX,1928,81,5278
MEX,1929,102,4792
MEX,1930,103,3782
MEX,1931,76,3057
MEX,1932,58,3073
MEX,1933,76,3492
MEX,1934,103,3856
MEX,1935,111,5007
MEX,1936,113,4910
MEX,1937,106,6142
MEX,1938,142,8022
