stateabb,year,cinc
USA,2015,0.13303833
USA,2016,0.13305758
CAN,1920,0.01012836
CAN,1921,0.010542275
CAN,1922,0.0084077036
CAN,1923,0.0098605091
CAN,1924,0.0088946531
CAN,1925,0.0087038754
CAN,1926,0.0092399791
CAN,1927,0.0093703177
CAN,1928,0.0097021777
CAN,1929,0.0098029692
CAN,1930,0.0097882254
CAN,1931,0.0091850217
CAN,1932,0.0086330045
CAN,1933,0.0084307082
CAN,1934,0.0089084785
CAN,1935,0.0087363021
CAN,1936,0.0086480891
CAN,1937,0.0089261318
CAN,1938,0.0087165888
CAN,1939,0.0090911472
CAN,1940,0.012058837
CAN,1941,0.01507905
CAN,1942,0.017143585
CAN,1943,0.018521491
CAN,1944,0.01697485
CAN,1945,0.017041938
CAN,1946,0.015643977
CAN,1947,0.013187969
CAN,1948,0.012592783
CAN,1949,0.012812718
CAN,1950,0.012605249
CAN,1951,0.013534874
CAN,1952,0.014203724
CAN,1953,0.014219755
CAN,1954,0.01334111
CAN,1955,0.013189279
CAN,1956,0.013735953
CAN,1957,0.013207524
CAN,1958,0.012597365
CAN,1959,0.012827507
CAN,1960,0.012444773
CAN,1961,0.012568495
CAN,1962,0.012630004
CAN,1963,0.012449234
CAN,1964,0.012758554
CAN,1965,0.012746997
CAN,1966,0.012184688
CAN,1967,0.012022597
CAN,1968,0.011931072
CAN,1969,0.011099377
CAN,1970,0.011354282
CAN,1971,0.011483858
CAN,1972,0.011642309
CAN,1973,0.011570494
CAN,1974,0.011733489
CAN,1975,0.011700832
CAN,1976,0.011637148
CAN,1977,0.011730049
CAN,1978,0.011650193
CAN,1979,0.011783425
CAN,1980,0.011760736
CAN,1981,0.011713711
CAN,1982,0.011110692
CAN,1983,0.011199301
CAN,1984,0.011621215
CAN,1985,0.011122531
CAN,1986,0.011070146
CAN,1987,0.011249576
CAN,1988,0.011349097
CAN,1989,0.011969931
CAN,1990,0.011015653
CAN,1991,0.011731687
CAN,1992,0.012052817
CAN,1993,0.012016573
CAN,1994,0.01169921
CAN,1995,0.011476978
CAN,1996,0.01135161
CAN,1997,0.011202842
CAN,1998,0.011359061
CAN,1999,0.011492347
CAN,2000,0.011292482
CAN,2001,0.010798017
CAN,2002,0.0115449
CAN,2003,0.011360924
CAN,2004,0.01110299
CAN,2005,0.010919506
CAN,2006,0.01081054
CAN,2007,0.010836622
CAN,2008,0.010453145
CAN,2009,0.0096003301
CAN,2010,0.00965802
CAN,2011,0.0093720779
CAN,2012,0.0092022391
CAN,2013,0.0087339561
CAN,2014,0.0087198094
CAN,2015,0.0085933199
CAN,2016,0.0084070936
BHM,1973,0.00035652413
BHM,1974,0.00029933747
BHM,1975,0.00028854384
BHM,1976,0.00023482335
BHM,1977,0.00035021652
BHM,1978,0.00022499902
BHM,1979,0.00019967771
BHM,1980,0.00025767231
BHM,1981,0.00021216812
BHM,1982,0.00022998851
BHM,1983,0.00020664366
BHM,1984,0.0001618642
BHM,1985,0.000059248319
BHM,1986,0.000034925233
BHM,1987,0.000034910689
BHM,1988,0.000046035984
BHM,1989,0.000058428974
BHM,1990,0.000051120052
BHM,1991,0.000043180651
BHM,1992,0.000044400906
BHM,1993,0.000047885838
BHM,1994,0.000036486003
BHM,1995,0.000035470039
BHM,1996,0.000035161273
BHM,1997,0.000034726723
BHM,1998,0.000035477391
BHM,1999,0.000042787669
BHM,2000,0.000043155731
BHM,2001,0.000043112937
BHM,2002,0.000024223926
BHM,2003,0.00002455713
BHM,2004,0.000024156881
BHM,2005,0.000024762599
BHM,2006,0.000026254755
BHM,2007,0.000027115228
BHM,2008,0.000025164903
BHM,2009,0.000024783076
BHM,2010,0.000024044855
BHM,2011,0.000024342586
BHM,2012,0.00002473381
BHM,2013,0.000025753778
BHM,2014,0.000028062817
BHM,2015,0.000030364945
BHM,2016,0.000032538159
CUB,1902,0.0011214954
CUB,1903,0.0011200034
CUB,1904,0.0011527566
CUB,1905,0.0011217024
CUB,1906,0.0034079426
CUB,1909,0.0011668679
CUB,1910,0.0011720996
CUB,1911,0.0011660646
CUB,1912,0.0011763652
CUB,1913,0.0031744451
CUB,1914,0.0014208881
